antecedents,consequents,support,confidence,lift
frozenset({'Ile_operacji:4'}),frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
frozenset({'Ile_operacji:3'}),frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,0.8,1.753846153846154
